budget,trial,feature,importance,kind
5,0,whitened_component_01,0.02714010218394866,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_02,0.016616693698845435,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_03,0.0073056674479420195,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_04,0.007294840743782341,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_05,0.009100465070927736,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_06,0.0066093449179003075,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_07,0.016804270480017137,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_08,0.008668621451438487,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_09,0.011068530580034241,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_10,0.03589661229401189,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_11,0.02338670910061178,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_12,0.017428087861927233,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_13,0.008670879607069856,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_14,0.004175127515002732,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_15,0.008016496242308645,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_16,0.009987606564692665,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_17,0.004017107758085763,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_18,0.030142587565722415,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_19,0.027311916276640157,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_20,0.027710402805532375,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_21,0.04035894337252069,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_22,0.0336113018775567,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_23,0.015452467346331782,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_24,0.016724686212969707,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_25,0.017681421484803523,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_26,0.008722998194783903,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_27,0.013705424690396213,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_28,0.013107502983802963,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_29,0.004915413038173543,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_30,0.012338032541977533,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_31,0.017712262734856404,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_32,0.030322460182367346,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_33,0.016869033672523452,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_34,0.008806705666044112,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_35,0.027086624561167536,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_36,0.010471116777587473,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_37,0.01425925138204694,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_38,0.013924238813118358,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_39,0.014610940675126144,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_40,0.010446763418546008,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_41,0.032538440097970876,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_42,0.040142999791256566,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_43,0.04000185284169696,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_44,0.030785337740522944,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_45,0.01126215327101867,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_46,0.011888690468414726,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_47,0.015323166298965362,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_48,0.0076682966812083,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_49,0.017684767914948,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_50,0.017246380917316388,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_51,0.0231741800394306,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_52,0.009670071761960615,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_53,0.0038199640400482897,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_54,0.00929509414508201,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_55,0.003798287423043982,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_56,0.016782873743626085,"impurity; transformed axes, not raw spectral features"
5,0,whitened_component_57,0.015766566394328555,"impurity; transformed axes, not raw spectral features"
